8887_281471_000000_000000	CHAPTER XIV.	CHAPTER fourteen.
8887_281471_000001_000000	JEALOUSY.	JEALOUSY.
8887_281471_000002_000000	At the close of the game there was another boy on the field who was quite as glum and downcast as Hooker himself.	At the close of the game there was another boy on the field who was quite as glum and downcast as Hooker himself.
8887_281471_000002_000001	This was Phil Springer, who remained seated on the bench while his team-mates and a portion of the enthusiastic crowd swarmed, cheering, around Grant and lifted him to their shoulders.	This was Phil Springer, who remained seated on the bench while his team mates and a portion of the enthusiastic crowd swarmed, cheering, around Grant and lifted him to their shoulders.
8887_281471_000003_000000	Presently he realized that this behavior on his part must attract attention the moment the excitement relaxed, and he got up with the intention of hurrying at once to the gymnasium.	Presently he realized that this behavior on his part must attract attention the moment the excitement relaxed, and he got up with the intention of hurrying at once to the gymnasium.
8887_281471_000003_000001	Barely had he started, however, when something brought him to a halt, and beneath his breath he muttered:	Barely had he started, however, when something brought him to a halt, and beneath his breath he muttered:
8887_281471_000004_000000	"That won't do.	"That won't do.
8887_281471_000005_000000	He was jealous--bitterly so; but he forced himself to join the cheering crowd and to make a half-hearted pretense of rejoicing.	He was jealous-bitterly so; but he forced himself to join the cheering crowd and to make a half hearted pretense of rejoicing.
8887_281471_000005_000002	For Phil had long entertained the ambition of becoming the first pitcher on the academy nine, and this year he had been fully confident until the present hour that the goal he sought was his beyond dispute.	For Phil had long entertained the ambition of becoming the first pitcher on the academy nine, and this year he had been fully confident until the present hour that the goal he sought was his beyond dispute.
8887_281471_000007_000000	So many persons wished to shake hands with Rodney Grant that he laughingly protested, saying they would put his "wing out of commission." Suddenly perceiving Phil, the Texan pushed aside those between them, sprang forward and placed a hand on Springer's shoulder, crying:	So many persons wished to shake hands with Rodney Grant that he laughingly protested, saying they would put his "wing out of commission." Suddenly perceiving Phil, the Texan pushed aside those between them, sprang forward and placed a hand on Springer's shoulder, crying:
8887_281471_000008_000000	"Here's my mentor.	"Here's my mentor.
8887_281471_000008_000001	Only for him, I'd never been able to do it.	Only for him, I'd never been able to do it.
8887_281471_000008_000002	I owe what little I know about pitching to Springer.	I owe what little I know about pitching to Springer.
8887_281471_000008_000003	Let's give him a cheer, fellows."	Let's give him a cheer, fellows."
8887_281471_000009_000000	They did so, but that cheer lacked the spontaneous enthusiasm and genuine admiration which had been thrown into the cheering for Grant, something which Springer did not fail to note.	They did so, but that cheer lacked the spontaneous enthusiasm and genuine admiration which had been thrown into the cheering for Grant, something which Springer did not fail to note.
8887_281471_000010_000000	"Oh, thanks," said Phil, weakly returning the warm grasp of Rod's strong hand.	"Oh, thanks," said Phil, weakly returning the warm grasp of Rod's strong hand.
8887_281471_000010_000001	"I didn't do anything--except blow up."	"I didn't do anything-except blow up."
