9022_282357_000014_000000	THE 'ARGONAUTS'	THE 'ARGONAUTS'
9022_282357_000015_000000	Early in 1849 the sleepy quiet of Victoria, Vancouver Island, was disturbed by the arrival of straggling groups of ragged nondescript wanderers, who were neither trappers nor settlers.	Early in eighteen forty nine the sleepy quiet of Victoria, Vancouver Island, was disturbed by the arrival of straggling groups of ragged nondescript wanderers, who were neither trappers nor settlers.
9022_282357_000015_000001	They carried blanket packs on their backs and leather bags belted securely round the waist close to their pistols.	They carried blanket packs on their backs and leather bags belted securely round the waist close to their pistols.
9022_282357_000015_000002	They did not wear moccasins after the fashion of trappers, but heavy, knee-high, hobnailed boots.	They did not wear moccasins after the fashion of trappers, but heavy, knee high, hobnailed boots.
9022_282357_000015_000003	In place of guns over their shoulders, they had picks and hammers and such stout sticks as mountaineers use in climbing.	In place of guns over their shoulders, they had picks and hammers and such stout sticks as mountaineers use in climbing.
9022_282357_000015_000004	They did not forgather with the Indians.	They did not forgather with the Indians.
9022_282357_000015_000005	They shunned the Indians and had little to say to any one.	They shunned the Indians and had little to say to any one.
9022_282357_000015_000006	They volunteered little information as to whence they had come or whither they were going.	They volunteered little information as to whence they had come or whither they were going.
9022_282357_000015_000007	They sought out Roderick Finlayson, chief trader for the Hudson's Bay Company.	They sought out Roderick Finlayson, chief trader for the Hudson's Bay Company.
9022_282357_000015_000010	They unstrapped those little leather bags round under their cartridge belts and produced in tiny gold nuggets the price of what they had bought.	They unstrapped those little leather bags round under their cartridge belts and produced in tiny gold nuggets the price of what they had bought.
9022_282357_000016_000000	Finlayson did not know exactly what to do.	Finlayson did not know exactly what to do.
9022_282357_000016_000002	The miner, wherever he went, sounded the knell of fur-trading; and the trapper did not like to have his game preserve overrun by fellows who scared off all animals from traps, set fire going to clear away underbrush, and owned responsibility to no authority.	The miner, wherever he went, sounded the knell of fur trading; and the trapper did not like to have his game preserve overrun by fellows who scared off all animals from traps, set fire going to clear away underbrush, and owned responsibility to no authority.
9022_282357_000016_000003	No doubt these men were 'argonauts' drifted up from the gold diggings of California; no doubt they were searching for new mines; but who had ever heard of gold in Vancouver Island, or in New Caledonia, as the mainland was named?	No doubt these men were 'argonauts' drifted up from the gold diggings of California; no doubt they were searching for new mines; but who had ever heard of gold in Vancouver Island, or in New Caledonia, as the mainland was named?
9022_282357_000016_000004	If there had been gold, would not the company have found it?	If there had been gold, would not the company have found it?
9022_282357_000017_000000	He handled their nuggets doubtfully.	He handled their nuggets doubtfully.
9022_282357_000017_000001	Who knew for a certainty that it was gold anyhow?	Who knew for a certainty that it was gold anyhow?
9022_282357_000017_000003	Finlayson, smiling sceptically, did as he was told.	Finlayson, smiling sceptically, did as he was told.
9022_282357_000017_000004	The nuggets flattened to a yellow leaf as fine and flexible as silk.	The nuggets flattened to a yellow leaf as fine and flexible as silk.
9022_282357_000017_000006	It proved sixteen dollars to the ounce.	It proved sixteen dollars to the ounce.
9022_282357_000018_000001	Many of the company's servants drifted away to California in the wake of the 'Forty-Niners,' and the company found it hard to keep its trappers from deserting all up and down the Pacific Coast.	Many of the company's servants drifted away to California in the wake of the 'Forty Niners,' and the company found it hard to keep its trappers from deserting all up and down the Pacific Coast.
9022_282357_000018_000002	The quest for gold had become a sort of yellow-fever madness.	The quest for gold had become a sort of yellow fever madness.
9022_282357_000018_000003	Men flung certainty to the winds and trekked recklessly to California, to Oregon, to the hinterland of the country round Colville and Okanagan.	Men flung certainty to the winds and trekked recklessly to California, to Oregon, to the hinterland of the country round Colville and Okanagan.
9022_282357_000018_000004	Yet nothing occurred to cause any excitement in Victoria.	Yet nothing occurred to cause any excitement in Victoria.
9022_282357_000018_000006	But the nugget was an isolated freak; the quartz could not be worked at a profit; and the movement suddenly died out.	But the nugget was an isolated freak; the quartz could not be worked at a profit; and the movement suddenly died out.
9022_282357_000018_000009	Though Maclean, the chief factor at Kamloops, kept all the specks and flakes brought to his post as samples from 1852 to 1856, he had less than would fill a half-pint bottle.	Though Maclean, the chief factor at Kamloops, kept all the specks and flakes brought to his post as samples from eighteen fifty two to eighteen fifty six, he had less than would fill a half pint bottle.
9022_282357_000018_000010	If a half-pint is counted as a half-pound and the gold at the company's price of eleven dollars an ounce, it will be seen why four years of such discoveries did not set Victoria on fire.	If a half pint is counted as a half pound and the gold at the company's price of eleven dollars an ounce, it will be seen why four years of such discoveries did not set Victoria on fire.
9022_282357_000019_000000	It has been so with every discovery of gold in the history of the world.	It has been so with every discovery of gold in the history of the world.
9022_282357_000020_000000	Victoria went to sleep again.	Victoria went to sleep again.
9022_282357_000020_000001	When men drifted in to trade dust and nuggets for picks and flour, the fur-traders smiled, and rightly surmised that the California diggings were playing out.	When men drifted in to trade dust and nuggets for picks and flour, the fur traders smiled, and rightly surmised that the California diggings were playing out.
9022_282357_000021_000001	He was assisted in the administration by a council of three, nominated by himself--John Tod, James Cooper, and Roderick Finlayson.	He was assisted in the administration by a council of three, nominated by himself-john Tod, james Cooper, and Roderick Finlayson.
9022_282357_000022_000000	Because California and Oregon had gone American, some small British warships lay at Esquimalt harbour.	Because California and Oregon had gone American, some small British warships lay at Esquimalt harbour.
9022_282357_000022_000001	The little fort had expanded beyond the stockade.	The little fort had expanded beyond the stockade.
9022_282357_000022_000002	The governor's house was to the east of the stockade.	The governor's house was to the east of the stockade.
9022_282357_000022_000003	A new church had been built, and the Rev.	A new church had been built, and the Rev.
9022_282357_000022_000004	Edward Cridge, afterwards known as Bishop Cridge, was the rector.	Edward Cridge, afterwards known as Bishop Cridge, was the rector.
9022_282357_000022_000006	Inside the fort were perhaps forty-five employees.	Inside the fort were perhaps forty five employees.
9022_282357_000022_000007	Inside and outside lived some eight hundred people.	Inside and outside lived some eight hundred people.
9022_282357_000022_000008	But grass grew in the roads.	But grass grew in the roads.
9022_282357_000022_000010	Three hundred acres about the fort were worked by the company as a farm, which gave employment to about two dozen workmen, and on which were perhaps a hundred cattle and a score of brood mares.	Three hundred acres about the fort were worked by the company as a farm, which gave employment to about two dozen workmen, and on which were perhaps a hundred cattle and a score of brood mares.
9022_282357_000022_000011	The company also had a saw-mill.	The company also had a saw mill.
