9022_282383_000000_000000	[1] See _Pioneers of the Pacific Coast_ in this Series.	[one] See underscore Pioneers of the Pacific Coast underscore in this Series.	false	1.11	9.96	25.821087
9022_282383_000001_000000	{53}	{fifty three}	false	9.96	23.445	26.446262
9022_282383_000002_000000	CHAPTER IV	CHAPTER four	true	23.445	24.49	28.211634
9022_282383_000003_000000	THE OVERLANDERS	THE OVERLANDERS	true	24.89	26.2	20.74619
9022_282383_000004_000000	When the Cariboo fever reached the East, the public there had heard neither of the Indian massacres in Oregon nor that the Sioux were on the war-path in Dakota.	When the Cariboo fever reached the East, the public there had heard neither of the Indian massacres in Oregon nor that the Sioux were on the war path in Dakota.	true	27.8	36.64	23.09979
9022_282383_000004_000001	Promoters who had never set foot west of Buffalo launched wild-cat mining companies and parcel express devices and stages by routes that went up sheer walls and crossed unbridged rivers.	Promoters who had never set foot west of Buffalo launched wild cat mining companies and parcel express devices and stages by routes that went up sheer walls and crossed unbridged rivers.	true	37.01	48.1	24
9022_282383_000004_000002	To such frauds there could be no certain check; for it took six months to get word in and out of Cariboo.	To such frauds there could be no certain check; for it took six months to get word in and out of Cariboo.	true	48.44	54.43	26.152443
9022_282383_000004_000003	Eastern papers were full of advertisements of easy routes to the gold-diggings.	Eastern papers were full of advertisements of easy routes to the gold diggings.	true	54.71	59.29	24.88436
9022_282383_000004_000004	Far-off fields look green.	Far off fields look green.	false	59.48	61.39	23.551655
9022_282383_000004_000005	Far-off gold glittered the brighter for the distance. Cariboo became in popular imagination a land where nuggets grew on the side of the road and could be picked by the bushel-basket.	Far off gold glittered the brighter for the distance. Cariboo became in popular imagination a land where nuggets grew on the side of the road and could be picked by the bushel basket.	true	61.43	73.12	23.631317
9022_282383_000004_000006	Besides, times were so hard in the East that the majority of the youthful adventurers who were caught by the fever had nothing to lose except their lives.	Besides, times were so hard in the East that the majority of the youthful adventurers who were caught by the fever had nothing to lose except their lives.	true	73.7	82.68	22.355474
9022_282383_000005_000000	{54}	{fifty four}	false	82.68	83.61	29
9022_282383_000006_000000	A group of threescore young men from different parts of Canada, from Kingston, Niagara, and Montreal, having noticed advertisements of an easy stage-route from St Paul, set out for the gold-diggings in May 1862.	A group of threescore young men from different parts of Canada, from Kingston, Niagara, and Montreal, having noticed advertisements of an easy stage route from saint Paul, set out for the gold diggings in may eighteen sixty two.	true	83.61	96.79	21.769892
9022_282383_000006_000001	Tickets could be purchased in London, England, as well as in Canada, for when these young Canadians reached St Paul, they found eighteen young men from England, like themselves, diligently searching the whereabouts of the stage-route.	Tickets could be purchased in London, England, as well as in Canada, for when these young Canadians reached saint Paul, they found eighteen young men from England, like themselves, diligently searching the whereabouts of the stage route.	true	97.34	110.22	22.742983
9022_282383_000006_000002	That was their first inkling that fraudulent practices were being carried on and that they had been deceived, that there was, in fact, no stage-route from St Paul to Cariboo.	That was their first inkling that fraudulent practices were being carried on and that they had been deceived, that there was, in fact, no stage route from saint Paul to Cariboo.	true	110.22	120.22	22.617033
9022_282383_000006_000003	A few of them turned back, but the majority, by ox-cart and rickety stagecoach, pushed on to the Red River and went up to a point near the boundary of modern Manitoba, where lay the first steamboat to navigate that river, about to start on her maiden trip.	A few of them turned back, but the majority, by ox cart and rickety stagecoach, pushed on to the Red River and went up to a point near the boundary of modern Manitoba, where lay the first steamboat to navigate that river, about to start on her maiden trip.	true	120.5	135.67	25.298601
9022_282383_000006_000004	On this steamboat, the little _International_, afterwards famous for running into sand-banks and mud-bars, the troops of Overlanders took passage, and stowed themselves away wherever they could, some in the cook's galley and some among the cordwood piled in the engine-room.	On this steamboat, the little underscore International underscore, afterwards famous for running into sand banks and mud bars, the troops of Overlanders took passage, and stowed themselves away wherever they could, some in the cook's galley and some among the cordwood piled in the engine room.	false	135.92	152.38	24.800873
9022_282383_000007_000000	The Sioux were on a rampage in Minnesota {55} and Dakota, but Alexander Dallas, governor of Rupert's Land for the Hudson's Bay Company, and Mgr Tache, bishop of St Boniface, were aboard, and their presence afforded protection.	The Sioux were on a rampage in Minnesota {fifty five} and Dakota, but Alexander Dallas, governor of Rupert's Land for the Hudson's Bay Company, and m g r Tache, bishop of saint Boniface, were aboard, and their presence afforded protection.	false	153.02	166.9	22.775984
9022_282383_000007_000001	On the way to the vessel some of the Overlanders had narrowly escaped a massacre.	On the way to the vessel some of the Overlanders had narrowly escaped a massacre.	true	167.18	171.4	21
9022_282383_000007_000002	The story is told that as they slowly made their way in ox-carts up the river-bank, a band of horsemen swept over the horizon, and the travellers found themselves surrounded by Sioux warriors.	The story is told that as they slowly made their way in ox carts up the river bank, a band of horsemen swept over the horizon, and the travellers found themselves surrounded by Sioux warriors.	true	171.62	182.32	21.793968
9022_282383_000007_000003	The old plainsman who acted as guide bethought him of a ruse: he hoisted a flag of the Hudson's Bay Company and waved it in the face of the Sioux without speaking.	The old plainsman who acted as guide bethought him of a ruse: he hoisted a flag of the Hudson's Bay Company and waved it in the face of the Sioux without speaking.	true	182.48	191.98	22.230608
9022_282383_000007_000004	The painted warriors drew together and conferred.	The painted warriors drew together and conferred.	true	192.35	195.16	27.283974
9022_282383_000007_000005	The oxen stood complacently chewing the cud. Indians never molested British fur-traders.	The oxen stood complacently chewing the cud. Indians never molested British fur traders.	true	195.35	201.13	25.553488
9022_282383_000007_000006	Presently the raiders went off over the horizon as swiftly as they had come, and the gold-seekers drove on, little realizing the fate from which they had been delivered.	Presently the raiders went off over the horizon as swiftly as they had come, and the gold seekers drove on, little realizing the fate from which they had been delivered.	true	201.5	210.82	21.448221
9022_282383_000008_000000	There had been heavy rains that spring on the prairie, and trees came jouncing down the muddy flood of the Red River.	There had been heavy rains that spring on the prairie, and trees came jouncing down the muddy flood of the Red River.	true	211.7	217.87	24
9022_282383_000008_000001	The little _International_, like a panicky bicycle rider, steered straight for every tree, and hit one with such impact that her smokestack came toppling down.	The little underscore International underscore, like a panicky bicycle rider, steered straight for every tree, and hit one with such impact that her smokestack came toppling down.	false	218.15	227.41	23.993574
9022_282383_000008_000002	At another place she pushed {56} her nose so deep in the soft mud of the riverbank that it required all the crew and most of the passengers to shove her off.	At another place she pushed {fifty six} her nose so deep in the soft mud of the riverbank that it required all the crew and most of the passengers to shove her off.	false	227.75	236.44	22.871687
9022_282383_000008_000003	But everybody was jubilant.	But everybody was jubilant.	true	236.63	238.51	26.198574
9022_282383_000008_000004	This was the first navigation of the Red River by steam.	This was the first navigation of the Red River by steam.	true	238.67	241.81	24.82175
9022_282383_000008_000005	The Queen's Birthday, the 24th of May, was celebrated on board the vessel pottle-deep to the tune of the bagpipes played by the governor's Scottish piper.	The Queen's Birthday, the twenty fourth of May, was celebrated on board the vessel pottle deep to the tune of the bagpipes played by the governor's Scottish piper.	true	242	250.81	27.091787
9022_282383_000008_000006	But the governor's wife was heard to lament to Bishop Tache that the _International's_ menu consisted only of pork and beans alternated with beans and pork, that the service was on tin plates, and that the dining-room chairs were backless benches.	But the governor's wife was heard to lament to Bishop Tache that the underscore International's underscore menu consisted only of pork and beans alternated with beans and pork, that the service was on tin plates, and that the dining room chairs were backless benches.	false	251.09	265.21	24.827019
9022_282383_000009_000000	The arrival of the steamer at Fort Garry (Winnipeg) was celebrated with great rejoicing.	The arrival of the steamer at Fort Garry (Winnipeg) was celebrated with great rejoicing.	true	266	271.48	24.77572
9022_282383_000009_000001	Indians ran along the river-bank firing off rifles in welcome, and opposite the flats where the fort gate opened, on what is now Main Street, the company's men came out and fired a royal salute. The people bound for Cariboo camped on the flats outside Fort Garry. Here was a strange world indeed.	Indians ran along the river bank firing off rifles in welcome, and opposite the flats where the fort gate opened, on what is now Main Street, the company's men came out and fired a royal salute. The people bound for Cariboo camped on the flats outside Fort Garry. Here was a strange world indeed.	true	272.18	290.74	24.109255
9022_282383_000009_000002	Two-wheeled ox-carts, made wholly of wood, without iron or bolt, wound up to the fort from St Paul in processions a mile long, with fat squaws and whole Indian families sitting squat inside the crib-like structure of the cart.	Two wheeled ox carts, made wholly of wood, without iron or bolt, wound up to the fort from saint Paul in processions a mile long, with fat squaws and whole Indian families sitting squat inside the crib like structure of the cart.	true	291.44	304.75	23.27569
9022_282383_000009_000003	Men and boys {57} loped ahead and abreast on sinewy ponies, riding bareback or on home-made saddles.	Men and boys {fifty seven} loped ahead and abreast on sinewy ponies, riding bareback or on home-made saddles.	false	305.06	311.53	24
9022_282383_000009_000004	Only a few stores stood along what is now Main Street, which ran northward towards the Selkirk Settlement.	Only a few stores stood along what is now Main Street, which ran northward towards the Selkirk Settlement.	true	311.81	317.77	21.151922
9022_282383_000009_000005	With the Indians, who were camped everywhere in the woods along the Assiniboine, the Overlanders began to barter for carts, oxen, ponies, and dried deer-meat or pemmican.	With the Indians, who were camped everywhere in the woods along the Assiniboine, the Overlanders began to barter for carts, oxen, ponies, and dried deer meat or pemmican.	true	317.93	327.82	23.944603
9022_282383_000009_000006	An ox and cart cost from forty to fifty dollars.	An ox and cart cost from forty to fifty dollars.	true	328.07	331.24	24.881132
9022_282383_000009_000007	Ponies sold at twenty-five dollars.	Ponies sold at twenty five dollars.	true	331.37	333.55	22.049612
9022_282383_000009_000008	Pemmican cost sixteen cents a pound, and a pair of duffel Hudson's Bay blankets cost eight or ten dollars.	Pemmican cost sixteen cents a pound, and a pair of duffel Hudson's Bay blankets cost eight or ten dollars.	true	333.71	340.45	25
9022_282383_000009_000009	Instead of blankets, many of the travellers bought the cheaper buffalo robes.	Instead of blankets, many of the travellers bought the cheaper buffalo robes.	true	340.64	345.01	27.190487
9022_282383_000009_000010	These sold as low as a dollar each.	These sold as low as a dollar each.	true	345.14	347.5	23.460855
9022_282383_000010_000000	John Black, the Presbyterian 'apostle of the Red River,' preached special sermons on Sunday for the miners.	john Black, the Presbyterian 'apostle of the Red River,' preached special sermons on Sunday for the miners.	true	347.72	354.94	22.155895
9022_282383_000010_000001	And on a beautiful June afternoon the Overlanders headed towards the setting sun in a procession of almost a hundred ox-carts; and the fort waved them farewell.	And on a beautiful June afternoon the Overlanders headed towards the setting sun in a procession of almost a hundred ox carts; and the fort waved them farewell.	true	355.43	365.2	22.463442
9022_282383_000010_000002	One wonders whether, as the last ox-cart creaked into the distance, the fur-traders realized that the miner heralded the settler, and that the settler would fence off the hunter's game preserve into farms and cities.	One wonders whether, as the last ox cart creaked into the distance, the fur traders realized that the miner heralded the settler, and that the settler would fence off the hunter's game preserve into farms and cities.	true	365.6	378.1	22.222712
9022_282383_000010_000003	A rare glamour lay over the plains {58} that June, not the less rare because hope beckoned the travellers.	A rare glamour lay over the plains {fifty eight} that June, not the less rare because hope beckoned the travellers.	false	378.47	384.31	25.361767
9022_282383_000010_000004	The unfenced prairie billowed to the horizon a sea of green, diversified by the sky-blue waters of slough and lake, and decked with the hues of gorgeous flowers--the prairie rose, fragrant, tender, elusive, and fragile as the English primrose; the blood-red tiger-lily; the brown windflower with its corn-tassel; the heavy wax cups of the sedgy water-lily, growing where wild duck flackered unafraid.	The unfenced prairie billowed to the horizon a sea of green, diversified by the sky blue waters of slough and lake, and decked with the hues of gorgeous flowers-the prairie rose, fragrant, tender, elusive, and fragile as the English primrose; the blood red tiger lily; the brown windflower with its corn tassel; the heavy wax cups of the sedgy water lily, growing where wild duck flackered unafraid.	true	384.59	412.21	22.382776
9022_282383_000010_000005	Game was superabundant.	Game was superabundant.	true	412.37	414.16	27.64615
9022_282383_000010_000006	Prairie chickens nestled along the single-file trail. Deer bounded from the poplar thickets and shy coyotes barked all night in the offing.	Prairie chickens nestled along the single file trail. Deer bounded from the poplar thickets and shy coyotes barked all night in the offing.	true	414.35	423.25	26.112173
9022_282383_000010_000007	Night in June on the northern prairie is but the shadowy twilight between two long days.	Night in June on the northern prairie is but the shadowy twilight between two long days.	true	423.71	429.1	22.647331
9022_282383_000010_000008	The sun sets between nine and ten, and rises between three and four, and the moonlight is clear enough on cloudless nights for campers to see the time on their watches.	The sun sets between nine and ten, and rises between three and four, and the moonlight is clear enough on cloudless nights for campers to see the time on their watches.	true	429.26	439.35	21
9022_282383_000011_000000	[Illustration: A Red River cart.	[Illustration: A Red River cart.	false	439.35	439.89	7
9022_282383_000011_000001	From a photograph.]	From a photograph.]	false	439.89	440.25	7
9022_282383_000012_000000	The trail followed was the old path of the fur-trader from fort to fort 'the plains across' to the Rockies.	The trail followed was the old path of the fur trader from fort to fort 'the plains across' to the Rockies.	false	440.25	445.78	23.345415
