9022_282383_000002_000000	CHAPTER IV	CHAPTER four
9022_282383_000003_000000	THE OVERLANDERS	THE OVERLANDERS
9022_282383_000004_000000	When the Cariboo fever reached the East, the public there had heard neither of the Indian massacres in Oregon nor that the Sioux were on the war-path in Dakota.	When the Cariboo fever reached the East, the public there had heard neither of the Indian massacres in Oregon nor that the Sioux were on the war path in Dakota.
9022_282383_000004_000001	Promoters who had never set foot west of Buffalo launched wild-cat mining companies and parcel express devices and stages by routes that went up sheer walls and crossed unbridged rivers.	Promoters who had never set foot west of Buffalo launched wild cat mining companies and parcel express devices and stages by routes that went up sheer walls and crossed unbridged rivers.
9022_282383_000004_000002	To such frauds there could be no certain check; for it took six months to get word in and out of Cariboo.	To such frauds there could be no certain check; for it took six months to get word in and out of Cariboo.
9022_282383_000004_000003	Eastern papers were full of advertisements of easy routes to the gold-diggings.	Eastern papers were full of advertisements of easy routes to the gold diggings.
9022_282383_000004_000005	Far-off gold glittered the brighter for the distance. Cariboo became in popular imagination a land where nuggets grew on the side of the road and could be picked by the bushel-basket.	Far off gold glittered the brighter for the distance. Cariboo became in popular imagination a land where nuggets grew on the side of the road and could be picked by the bushel basket.
9022_282383_000004_000006	Besides, times were so hard in the East that the majority of the youthful adventurers who were caught by the fever had nothing to lose except their lives.	Besides, times were so hard in the East that the majority of the youthful adventurers who were caught by the fever had nothing to lose except their lives.
9022_282383_000006_000000	A group of threescore young men from different parts of Canada, from Kingston, Niagara, and Montreal, having noticed advertisements of an easy stage-route from St Paul, set out for the gold-diggings in May 1862.	A group of threescore young men from different parts of Canada, from Kingston, Niagara, and Montreal, having noticed advertisements of an easy stage route from saint Paul, set out for the gold diggings in may eighteen sixty two.
9022_282383_000006_000001	Tickets could be purchased in London, England, as well as in Canada, for when these young Canadians reached St Paul, they found eighteen young men from England, like themselves, diligently searching the whereabouts of the stage-route.	Tickets could be purchased in London, England, as well as in Canada, for when these young Canadians reached saint Paul, they found eighteen young men from England, like themselves, diligently searching the whereabouts of the stage route.
9022_282383_000006_000002	That was their first inkling that fraudulent practices were being carried on and that they had been deceived, that there was, in fact, no stage-route from St Paul to Cariboo.	That was their first inkling that fraudulent practices were being carried on and that they had been deceived, that there was, in fact, no stage route from saint Paul to Cariboo.
9022_282383_000006_000003	A few of them turned back, but the majority, by ox-cart and rickety stagecoach, pushed on to the Red River and went up to a point near the boundary of modern Manitoba, where lay the first steamboat to navigate that river, about to start on her maiden trip.	A few of them turned back, but the majority, by ox cart and rickety stagecoach, pushed on to the Red River and went up to a point near the boundary of modern Manitoba, where lay the first steamboat to navigate that river, about to start on her maiden trip.
9022_282383_000007_000001	On the way to the vessel some of the Overlanders had narrowly escaped a massacre.	On the way to the vessel some of the Overlanders had narrowly escaped a massacre.
9022_282383_000007_000002	The story is told that as they slowly made their way in ox-carts up the river-bank, a band of horsemen swept over the horizon, and the travellers found themselves surrounded by Sioux warriors.	The story is told that as they slowly made their way in ox carts up the river bank, a band of horsemen swept over the horizon, and the travellers found themselves surrounded by Sioux warriors.
9022_282383_000007_000003	The old plainsman who acted as guide bethought him of a ruse: he hoisted a flag of the Hudson's Bay Company and waved it in the face of the Sioux without speaking.	The old plainsman who acted as guide bethought him of a ruse: he hoisted a flag of the Hudson's Bay Company and waved it in the face of the Sioux without speaking.
9022_282383_000007_000004	The painted warriors drew together and conferred.	The painted warriors drew together and conferred.
9022_282383_000007_000005	The oxen stood complacently chewing the cud. Indians never molested British fur-traders.	The oxen stood complacently chewing the cud. Indians never molested British fur traders.
9022_282383_000007_000006	Presently the raiders went off over the horizon as swiftly as they had come, and the gold-seekers drove on, little realizing the fate from which they had been delivered.	Presently the raiders went off over the horizon as swiftly as they had come, and the gold seekers drove on, little realizing the fate from which they had been delivered.
9022_282383_000008_000000	There had been heavy rains that spring on the prairie, and trees came jouncing down the muddy flood of the Red River.	There had been heavy rains that spring on the prairie, and trees came jouncing down the muddy flood of the Red River.
9022_282383_000008_000003	But everybody was jubilant.	But everybody was jubilant.
9022_282383_000008_000004	This was the first navigation of the Red River by steam.	This was the first navigation of the Red River by steam.
9022_282383_000008_000005	The Queen's Birthday, the 24th of May, was celebrated on board the vessel pottle-deep to the tune of the bagpipes played by the governor's Scottish piper.	The Queen's Birthday, the twenty fourth of May, was celebrated on board the vessel pottle deep to the tune of the bagpipes played by the governor's Scottish piper.
9022_282383_000009_000000	The arrival of the steamer at Fort Garry (Winnipeg) was celebrated with great rejoicing.	The arrival of the steamer at Fort Garry (Winnipeg) was celebrated with great rejoicing.
9022_282383_000009_000001	Indians ran along the river-bank firing off rifles in welcome, and opposite the flats where the fort gate opened, on what is now Main Street, the company's men came out and fired a royal salute. The people bound for Cariboo camped on the flats outside Fort Garry. Here was a strange world indeed.	Indians ran along the river bank firing off rifles in welcome, and opposite the flats where the fort gate opened, on what is now Main Street, the company's men came out and fired a royal salute. The people bound for Cariboo camped on the flats outside Fort Garry. Here was a strange world indeed.
9022_282383_000009_000002	Two-wheeled ox-carts, made wholly of wood, without iron or bolt, wound up to the fort from St Paul in processions a mile long, with fat squaws and whole Indian families sitting squat inside the crib-like structure of the cart.	Two wheeled ox carts, made wholly of wood, without iron or bolt, wound up to the fort from saint Paul in processions a mile long, with fat squaws and whole Indian families sitting squat inside the crib like structure of the cart.
9022_282383_000009_000004	Only a few stores stood along what is now Main Street, which ran northward towards the Selkirk Settlement.	Only a few stores stood along what is now Main Street, which ran northward towards the Selkirk Settlement.
