9023_296467_000000_000000	Probably a good many ladies reading these lines will endorse my authoress's opinions.	Probably a good many ladies reading these lines will endorse my authoress's opinions.	false	0	4.89	21.406664
9023_296467_000000_000001	For the most part these will be married ladies with large families; and it will be found upon enquiry, I feel certain, that ladies who have many children will have a dislike for the feline race.	For the most part these will be married ladies with large families; and it will be found upon enquiry, I feel certain, that ladies who have many children will have a dislike for the feline race.	false	4.89	19.11	21.676064
9023_296467_000001_000000	CHAPTER III.	CHAPTER three.	false	19.11	20.49	15
9023_296467_000002_000000	[Illustration: CHAPTER III.]	[Illustration: CHAPTER three.]	false	20.49	22.89	22.400091
9023_296467_000003_000000	_Of other Wicked Stories, with a few Words in Defence of the Accused._	underscore Of other Wicked Stories, with a few Words in Defence of the Accused.underscore	false	22.89	29.1	21.066025
9023_296467_000004_000000	I told you awhile ago what good Mr. Mavor says of Cats.	I told you awhile ago what good mr Mavor says of Cats.	true	29.1	32.82	14
9023_296467_000004_000001	"La defiance que cet animal inspire," says another instructor of youth, M. Pujoulx, in his _Livre du Second Age_, "est bien propre a corriger de dissimulation et de l'hypocrisie." I have nothing to say of poor Pujoulx, whose books and opinions are by this time well nigh forgotten; but what am I to think of two other authors, whose words should be law, but of the value of which I leave you to judge for yourself.	"La defiance que cet animal inspire," says another instructor of youth, m Pujoulx, in his underscore Livre du Second Age underscore, "est bien propre a corriger de dissimulation et de l'hypocrisie." I have nothing to say of poor Pujoulx, whose books and opinions are by this time well nigh forgotten; but what am I to think of two other authors, whose words should be law, but of the value of which I leave you to judge for yourself.	false	32.82	57.13	20.64585
9023_296467_000004_000002	I need not, I think, remind you that there is a natural history written by one Monsieur Buffon, "containing a theory of the earth, a general history of man, of the brute creation, and of vegetables, minerals, etc.," of which Mr. Barr published an English translation in ten goodly volumes.	I need not, I think, remind you that there is a natural history written by one Monsieur Buffon, "containing a theory of the earth, a general history of man, of the brute creation, and of vegetables, minerals, etc," of which mr Barr published an English translation in ten goodly volumes.	true	57.32	73.02	18
9023_296467_000004_000003	Thus, in this work of world-wide celebrity, is the feline race discussed.	Thus, in this work of world-wide celebrity, is the feline race discussed.	true	73.02	77.17	20
9023_296467_000004_000004	I give the author's words as I find them:--	I give the author's words as I find them:--	true	77.45	79.87	22.188112
9023_296467_000005_000000	"The Cat is a faithless domestic, and only kept through necessity to oppose to another domestic which incommodes us still more, and which we cannot drive away; for we pay no respect to those, who, being fond of all beasts, keep Cats for amusement.	"The Cat is a faithless domestic, and only kept through necessity to oppose to another domestic which incommodes us still more, and which we cannot drive away; for we pay no respect to those, who, being fond of all beasts, keep Cats for amusement.	true	80.24	93.4	21.615286
9023_296467_000005_000001	Though these animals are gentle and frolicksome when young, yet they, even then, possess an innate cunning and perverse disposition, which age increases, and which education only serves to conceal.	Though these animals are gentle and frolicksome when young, yet they, even then, possess an innate cunning and perverse disposition, which age increases, and which education only serves to conceal.	false	93.5	102.88	16
9023_296467_000005_000002	They are, naturally, inclined to theft, and the best education only converts them into servile and flattering robbers; for they have the same address, subtlety, and inclination for mischief or rapine.	They are, naturally, inclined to theft, and the best education only converts them into servile and flattering robbers; for they have the same address, subtlety, and inclination for mischief or rapine.	true	103.22	114.28	21
9023_296467_000005_000003	Like all knaves, they know how to conceal their intentions, to watch, wait, and choose opportunities for seizing their prey; to fly from punishment, and to remain away until the danger is over, and they can return with safety. They readily conform to the habits of society, but never acquire its manners; for of attachment they have only the appearance, as may be seen by the obliquity of their motions, and duplicity of their looks.	Like all knaves, they know how to conceal their intentions, to watch, wait, and choose opportunities for seizing their prey; to fly from punishment, and to remain away until the danger is over, and they can return with safety. They readily conform to the habits of society, but never acquire its manners; for of attachment they have only the appearance, as may be seen by the obliquity of their motions, and duplicity of their looks.	true	114.62	136.15	19
9023_296467_000005_000004	They never look in the face those who treat them best, and of whom they seem to be the most fond; but either through fear or falsehood, they approach him by windings to seek for those caresses they have no pleasure in, but only to flatter those from whom they receive them.	They never look in the face those who treat them best, and of whom they seem to be the most fond; but either through fear or falsehood, they approach him by windings to seek for those caresses they have no pleasure in, but only to flatter those from whom they receive them.	false	136.49	149.59	19
9023_296467_000005_000005	Very different from that faithful animal the dog, whose sentiments are all directed to the person of his master, the Cat appears only to feel for himself, only to love conditionally, only to partake of society that he may abuse it; and by this disposition he has more affinity to man than the dog, who is all sincerity."	Very different from that faithful animal the dog, whose sentiments are all directed to the person of his master, the Cat appears only to feel for himself, only to love conditionally, only to partake of society that he may abuse it; and by this disposition he has more affinity to man than the dog, who is all sincerity."	false	149.99	167.95	21.051542
9023_296467_000006_000000	So much for M. Buffon: though he is sadly mistaken on the subject of which he writes, these were probably his honest opinions; but what can be said for a writer in the Encyclopaedia Britannica, who holds forth as follows, and is not only ignorant of what he talks about, but steals Buffon's absurd prejudices, and passes them off as his own.	So much for m Buffon: though he is sadly mistaken on the subject of which he writes, these were probably his honest opinions; but what can be said for a writer in the Encyclopaedia Britannica, who holds forth as follows, and is not only ignorant of what he talks about, but steals Buffon's absurd prejudices, and passes them off as his own.	false	168.77	186.91	20.398424
9023_296467_000006_000001	In his opinion the cat "is a useful but deceitful domestic.	In his opinion the cat "is a useful but deceitful domestic.	true	187.46	191.59	22.1813
9023_296467_000006_000002	Although when young it is playful and gay, it possesses at the same time an innate malice and perverse disposition, which increases as it grows up, and which education learns it to conceal, but never to subdue.	Although when young it is playful and gay, it possesses at the same time an innate malice and perverse disposition, which increases as it grows up, and which education learns it to conceal, but never to subdue.	true	191.6	202.69	19
9023_296467_000006_000003	Constantly bent upon theft and rapine, though in a domestic state, it is full of cunning and dissimulation: it conceals all its designs, seizes every opportunity of doing mischief, and then flies from punishment.	Constantly bent upon theft and rapine, though in a domestic state, it is full of cunning and dissimulation: it conceals all its designs, seizes every opportunity of doing mischief, and then flies from punishment.	true	202.97	214.93	21.22001
9023_296467_000006_000004	It easily takes on the habits of society, but never its manners; for it has only the appearance of friendship and attachment.	It easily takes on the habits of society, but never its manners; for it has only the appearance of friendship and attachment.	true	215.06	221.62	19
9023_296467_000006_000005	This disingenuity of character is betrayed by the obliquity of its movements and the ambiguity of its looks.	This disingenuity of character is betrayed by the obliquity of its movements and the ambiguity of its looks.	true	221.81	227.05	16
9023_296467_000006_000006	In a word, the Cat is totally destitute of friendship."	In a word, the Cat is totally destitute of friendship."	true	227.27	230.59	22.713276
9023_296467_000007_000000	Here, I think, are some pretty sentiments and some valuable information about the Cat-kind.	Here, I think, are some pretty sentiments and some valuable information about the Cat kind.	true	230.9	235.72	15
9023_296467_000007_000001	Let us hope that the other contributors to the Encyclopaedia knew something more of what they wrote about than the gentleman above quoted.	Let us hope that the other contributors to the Encyclopaedia knew something more of what they wrote about than the gentleman above quoted.	true	235.97	242.47	15
9023_296467_000007_000002	And these opinions are not uncommon; for instance, allow me to quote from an article in a popular miscellany:--	And these opinions are not uncommon; for instance, allow me to quote from an article in a popular miscellany:--	true	242.66	248.08	17
9023_296467_000008_000000	"No!	"No!	true	248.84	249.3	27
9023_296467_000008_000001	I cannot abide Cats," says the writer.	I cannot abide Cats," says the writer.	true	249.3	251.62	19
9023_296467_000008_000002	"Pet Cats, wild Cats, Tom Cats, gib Cats, Persian Cats, Angora Cats, tortoiseshell Cats, tabby Cats, black Cats, Manx Cats, brindled Cats, mewing once, twice, or thrice, as the case may be,--none of these Cats delight me; they are associated in my mind with none but disagreeable objects and remembrances--old maids, witchcraft, dreadful sabbaths, with old women flying up the chimney upon broom-sticks, to drink hell-broth with the evil one, charms, incantations, sorceries, sucking children's breaths, stopping out late on the tiles, catterwauling and molrowing in the night season, prowling about the streets at unseasonable hours, and a variety of other things, too numerous and too unpleasant to mention."	"Pet Cats, wild Cats, Tom Cats, gib Cats, Persian Cats, Angora Cats, tortoiseshell Cats, tabby Cats, black Cats, Manx Cats, brindled Cats, mewing once, twice, or thrice, as the case may be,--none of these Cats delight me; they are associated in my mind with none but disagreeable objects and remembrances-old maids, witchcraft, dreadful sabbaths, with old women flying up the chimney upon broom sticks, to drink hell broth with the evil one, charms, incantations, sorceries, sucking children's breaths, stopping out late on the tiles, catterwauling and molrowing in the night season, prowling about the streets at unseasonable hours, and a variety of other things, too numerous and too unpleasant to mention."	false	251.9	290.53	17
9023_296467_000009_000000	Upon the other hand, Puss has had her defenders, and Miss Isabel Hill writes thus:--	Upon the other hand, Puss has had her defenders, and Miss Isabel Hill writes thus:--	true	291.11	296.38	19.267204
9023_296467_000010_000000	"Poor Pinkey, I can scarce dare a word in praise of one belonging to thy slandered sisterhood; yet a few good examples embolden me to assert that I have rarely known any harm of Cats who were given a fair chance, though I own I have seldom met with any that have enjoyed that advantage.	"Poor Pinkey, I can scarce dare a word in praise of one belonging to thy slandered sisterhood; yet a few good examples embolden me to assert that I have rarely known any harm of Cats who were given a fair chance, though I own I have seldom met with any that have enjoyed that advantage.	false	296.84	312.07	17
9023_296467_000010_000001	Is it their fault that they are born nearly without brains, though with all their senses about them, and of a tender turn?	Is it their fault that they are born nearly without brains, though with all their senses about them, and of a tender turn?	true	312.59	318.01	14
9023_296467_000010_000002	That they want strength, both of body and instinct, are dependant, and ill educated?	That they want strength, both of body and instinct, are dependant, and ill educated?	true	318.26	322.69	20.969137
9023_296467_000010_000003	No! their errors are thrust upon them; they become selfish per force, cowards from their tenacious regard for that personal neatness which they so labour to preserve.	No! their errors are thrust upon them; they become selfish per force, cowards from their tenacious regard for that personal neatness which they so labour to preserve.	true	323.06	333.46	21.033548
9023_296467_000010_000004	Oh! that all females made such good use of their tongues!	Oh! that all females made such good use of their tongues!	true	333.98	337.09	21.41397
9023_296467_000010_000005	Cross from sheer melancholy, reflecting, in their starved and persecuted maturity, on the fondness lavished over the days in which they were pet useless toys; as soon as they can deserve and may require kind treatment, they are as ill-used as if they were constant wives--rather unfair on ladies of their excessive genius.	Cross from sheer melancholy, reflecting, in their starved and persecuted maturity, on the fondness lavished over the days in which they were pet useless toys; as soon as they can deserve and may require kind treatment, they are as ill used as if they were constant wives-rather unfair on ladies of their excessive genius.	false	337.37	354.01	17
9023_296467_000010_000006	Could every Cat, like Whittington's, catch fortunes for her master as well as mice, we should hear no more said against the species.	Could every Cat, like Whittington's, catch fortunes for her master as well as mice, we should hear no more said against the species.	true	355.04	361.24	16
9023_296467_000010_000007	Suppose they only fawn on us because we house and feed them, they have no nobler proofs of friendship with which to thank us; and if their very gratitude for this self-interested hire be adduced as a crime, alas!	Suppose they only fawn on us because we house and feed them, they have no nobler proofs of friendship with which to thank us; and if their very gratitude for this self interested hire be adduced as a crime, alas!	true	361.55	372.24	20
9023_296467_000010_000008	poor Pussies!	poor Pussies!	true	372.24	373.09	23.951355
9023_296467_000010_000009	Had Minette been a Thomas, a whiskered fur-collared Philander, he would most probably have surmounted that unmanly weakness, and received all favours as but his due.	Had Minette been a Thomas, a whiskered fur collared Philander, he would most probably have surmounted that unmanly weakness, and received all favours as but his due.	true	373.34	381.82	21
9023_296467_000010_000010	I never see a Mrs. Mouser rubbing her soft coat against me, with round upturned eyes, but I translate her purr into words like these:--'I can't swim; I can neither fetch and carry, nor guard the house; I can only love you, mistress; pray accept all I have to offer.'"	I never see a mrs Mouser rubbing her soft coat against me, with round upturned eyes, but I translate her purr into words like these:--'I can't swim; I can neither fetch and carry, nor guard the house; I can only love you, mistress; pray accept all I have to offer.'"	true	382.37	400.3	20.484158
9023_296467_000011_000000	An anonymous writer says: "We may learn some useful lessons from Cats, as indeed, from all animals.	An anonymous writer says: "We may learn some useful lessons from Cats, as indeed, from all animals.	true	401.15	407.07	20.828985
9023_296467_000011_000001	Agur, in the book of Proverbs, refers to some; and all through Scripture we find animals used as types of human character.	Agur, in the book of proverbs, refers to some; and all through Scripture we find animals used as types of human character.	false	407.07	414.82	23.065035
9023_296467_000011_000002	Cats may teach us patience, and perseverance, and earnest concentration of mind on a desired object, as they watch for hours together by a mouse-hole, or in ambush for a bird.	Cats may teach us patience, and perseverance, and earnest concentration of mind on a desired object, as they watch for hours together by a mouse hole, or in ambush for a bird.	false	415.19	425.8	20.88756
