9023_296468_000000_000000	Poor Pussy! on the whole she has had but few champions in comparison to the number of her foes.	Poor Pussy! on the whole she has had but few champions in comparison to the number of her foes.	false	0	2.85	23.824574
9023_296468_000000_000001	Let us see what anecdotes we can find which will show her in a favourable light; but my chapter is long enough, and I will conclude it with the epitaph placed over a favourite French Puss:--	Let us see what anecdotes we can find which will show her in a favourable light; but my chapter is long enough, and I will conclude it with the epitaph placed over a favourite French Puss:--	false	2.85	10.71	21.76148
9023_296468_000001_000000	"Ci repose pauvre Mouton, Qui jamais ne fut glouton; J'espere bien que le roi Pluton, Lui donnera bon gite et crouton."	"Ci repose pauvre Mouton, Qui jamais ne fut glouton; J'espere bien que le roi Pluton, Lui donnera bon gite et crouton."	false	10.71	19.95	22.439754
9023_296468_000002_000000	CHAPTER IV.	CHAPTER four.	false	19.95	20.85	12
9023_296468_000003_000000	[Illustration: CHAPTER IV.]	[Illustration: CHAPTER four.]	false	20.85	23.25	20.82022
9023_296468_000004_000000	_Of the Manners and Customs of Cats._	underscore Of the Manners and Customs of Cats.underscore	false	23.25	26.82	21.515173
9023_296468_000005_000000	Let us see though, before we try our anecdotes, what is known of the Cat's peculiarities.	Let us see though, before we try our anecdotes, what is known of the Cat's peculiarities.	true	26.82	31.06	15
9023_296468_000005_000001	I rather like this quaint description of the domestic Pussy, which occurs in an old heraldic book, John Bossewell's "_Workes of Armorie_," published in 1597:--	I rather like this quaint description of the domestic Pussy, which occurs in an old heraldic book, john Bossewell's "underscore Workes of Armorie underscore," published in fifteen ninety seven:--	false	31.4	41.08	23.79708
9023_296468_000006_000000	"The field is of the Saphire, on a chief Pearle, a Masion Cruieves.	"The field is of the Saphire, on a chief Pearle, a Masion Cruieves.	false	41.54	46.17	21.392849
9023_296468_000006_000001	This beaste is called a 'Masion,' for that he is enimie to Myse and Rattes.	This beaste is called a 'Masion,' for that he is enimie to Myse and Rattes.	false	46.17	49.69	19
9023_296468_000006_000002	He is slye and wittie, and seeth so sharpely that he overcommeth darkness of the nighte by the shyninge lyghte of his eyne.	He is slye and wittie, and seeth so sharpely that he overcommeth darkness of the nighte by the shyninge lyghte of his eyne.	true	50.27	56.95	21.58574
9023_296468_000006_000003	In shape of body he is like unto a Leoparde, and hathe a greate mouthe.	In shape of body he is like unto a Leoparde, and hathe a greate mouthe.	false	57.35	61.83	21.084303
9023_296468_000006_000004	He doth delighte that he enjoyeth his libertie; and in his youth he is swifte, plyante, and merye. He maketh a rufull noyse and a gastefulle when he profereth to fighte with another.	He doth delighte that he enjoyeth his libertie; and in his youth he is swifte, plyante, and merye. He maketh a rufull noyse and a gastefulle when he profereth to fighte with another.	false	61.83	71.95	22.195335
9023_296468_000006_000005	He is a cruell beaste when he is wilde, and falleth on his owne feete from moste highe places: and never is hurt therewith.	He is a cruell beaste when he is wilde, and falleth on his owne feete from moste highe places: and never is hurt therewith.	false	72.29	79.45	22.214258
9023_296468_000006_000006	When he hathe a fayre skinne, he is, as it were, proude thereof, and then he goethe muche aboute to be seene."	When he hathe a fayre skinne, he is, as it were, proude thereof, and then he goethe muche aboute to be seene."	false	79.7	85.36	22.390095
9023_296468_000007_000000	It is commonly supposed that a Cat's scratch is venomous, because a lacerated wound oftener festers than a smooth cut from a sharp knife.	It is commonly supposed that a Cat's scratch is venomous, because a lacerated wound oftener festers than a smooth cut from a sharp knife.	false	85.94	94.21	21.211685
9023_296468_000008_000000	It is erroneously said that Cats feel a cutaneous irritation at the approach of rain, and offer sensible evidence of uneasiness: allusion may be found to this in "Thomson's Seasons." Virgil has also made the subject a theme for poetic allusion.	It is erroneously said that Cats feel a cutaneous irritation at the approach of rain, and offer sensible evidence of uneasiness: allusion may be found to this in "Thomson's Seasons." Virgil has also made the subject a theme for poetic allusion.	true	94.55	107.32	18
9023_296468_000009_000000	The Chinese look into their Cat's eyes to know what o'clock it is; and the playfulness of Cats is said to indicate the coming of a storm.	The Chinese look into their Cat's eyes to know what o'clock it is; and the playfulness of Cats is said to indicate the coming of a storm.	false	107.93	114.31	19.66127
9023_296468_000009_000001	I have noticed this often myself, and have seen them rush about in a half wild state just before windy weather.	I have noticed this often myself, and have seen them rush about in a half wild state just before windy weather.	true	114.83	121.15	20.259993
9023_296468_000009_000002	I think it is when the wind is _rising_ that they are most affected.	I think it is when the wind is underscore rising underscore that they are most affected.	false	121.31	124.6	20.03482
9023_296468_000010_000000	It is stated in a Japanese book that the tip of a Cat's nose is always cold, except on the day corresponding with our Midsummer-day.	It is stated in a Japanese book that the tip of a Cat's nose is always cold, except on the day corresponding with our Midsummer day.	false	125.78	134.58	21.781961
9023_296468_000010_000001	This is a question I cannot say I have gone into deeply.	This is a question I cannot say I have gone into deeply.	true	134.58	137.5	20
9023_296468_000010_000002	I know, however, that Cats always have a warm nose when they first awaken from sleep.	I know, however, that Cats always have a warm nose when they first awaken from sleep.	true	137.78	142.12	19.23841
9023_296468_000010_000003	All Cats are fond of warmth.	All Cats are fond of warmth.	true	142.4	144.31	23.08124
9023_296468_000010_000004	I knew one which used to open an oven door after the kitchen fire was out, and creep into the oven.	I knew one which used to open an oven door after the kitchen fire was out, and creep into the oven.	true	144.83	149.56	18
9023_296468_000010_000005	One day the servant shut the door, not noticing the Cat was inside, and lighted the fire.	One day the servant shut the door, not noticing the Cat was inside, and lighted the fire.	true	150.23	154.84	18
9023_296468_000010_000006	For a long while she could not make out whence came the sounds of its crying and scratching, but fortunately made the discovery in time to save its life.	For a long while she could not make out whence came the sounds of its crying and scratching, but fortunately made the discovery in time to save its life.	true	155.27	162.52	19.088835
9023_296468_000010_000007	A Cat's love of the sunshine is well known, and perhaps this story may not be unfamiliar to the reader:--	A Cat's love of the sunshine is well known, and perhaps this story may not be unfamiliar to the reader:--	true	163.13	168.4	21
9023_296468_000011_000000	One broiling hot summer's day Charles James Fox and the Prince of Wales were lounging up St. James's street, and Fox laid the Prince a wager that he would see more Cats than his Royal Highness during their promenade, although the Prince might choose which side of the street he thought fit. On reaching Piccadilly, it turned out that Fox had seen thirteen Cats and the Prince none.	One broiling hot summer's day Charles james Fox and the Prince of Wales were lounging up saint James's street, and Fox laid the Prince a wager that he would see more Cats than his Royal Highness during their promenade, although the Prince might choose which side of the street he thought fit. On reaching Piccadilly, it turned out that Fox had seen thirteen Cats and the Prince none.	false	169.07	188.26	21.303192
9023_296468_000011_000001	The Prince asked for an explanation of this apparent miracle.	The Prince asked for an explanation of this apparent miracle.	true	188.57	191.59	20.614525
9023_296468_000012_000000	"Your Royal Highness," said Fox, "chose, of course, the shady side of the way as most agreeable.	"Your Royal Highness," said Fox, "chose, of course, the shady side of the way as most agreeable.	true	191.96	197.59	23.217836
9023_296468_000012_000001	I knew that the sunny side would be left for me, and that Cats prefer the sunshine."	I knew that the sunny side would be left for me, and that Cats prefer the sunshine."	true	197.93	202.15	22
9023_296468_000013_000000	Cats usually, but not always, fall on their feet, because of the facility with which they balance themselves when springing from a height, which power of balancing is in some degree produced by the flexibility of the heel, the bones of which have no fewer than four joints.	Cats usually, but not always, fall on their feet, because of the facility with which they balance themselves when springing from a height, which power of balancing is in some degree produced by the flexibility of the heel, the bones of which have no fewer than four joints.	true	202.67	215.62	21.15872
9023_296468_000013_000001	Cats alight softly on their feet, because in the middle of the foot is a large ball or pad in five parts, formed of an elastic substance, and at the base of each toe is a similar pad.	Cats alight softly on their feet, because in the middle of the foot is a large ball or pad in five parts, formed of an elastic substance, and at the base of each toe is a similar pad.	true	215.93	225.58	20.776731
9023_296468_000013_000002	No mechanism better calculated to break the force of a fall could be imagined.	No mechanism better calculated to break the force of a fall could be imagined.	true	226.01	229.93	18
9023_296468_000014_000000	A Cat, when falling with its head downwards, curls its body, so that the back forms an arch, while the legs remain extended.	A Cat, when falling with its head downwards, curls its body, so that the back forms an arch, while the legs remain extended.	true	230.57	236.86	21.869549
9023_296468_000014_000001	This so changes the position of the centre of gravity, that the body makes a half turn in the air, and the feet become lowest.	This so changes the position of the centre of gravity, that the body makes a half turn in the air, and the feet become lowest.	true	237.26	242.92	19
9023_296468_000015_000000	In the inside of a Cat's head there is a sort of partition wall projecting from the sides, a good way inwards, towards the centre, so as to prevent the brain from suffering from concussion.	In the inside of a Cat's head there is a sort of partition wall projecting from the sides, a good way inwards, towards the centre, so as to prevent the brain from suffering from concussion.	true	243.92	252.49	18
9023_296468_000016_000000	There is a breed of tail-less white Cats in the Isle of Man, and also in Devonshire.	There is a breed of tail less white Cats in the Isle of Man, and also in Devonshire.	true	253.04	257.62	16
9023_296468_000016_000001	These are not the sort of animals with which, on shipboard, the "stow-aways" are made acquainted.	These are not the sort of animals with which, on shipboard, the "stow aways" are made acquainted.	true	258.26	262.54	18
9023_296468_000017_000000	A great many Cats in the Isle of Man are said to be deaf.	A great many Cats in the Isle of Man are said to be deaf.	true	262.85	265.695	19.974705
