9023_296468_000006_000002	He is slye and wittie, and seeth so sharpely that he overcommeth darkness of the nighte by the shyninge lyghte of his eyne.	He is slye and wittie, and seeth so sharpely that he overcommeth darkness of the nighte by the shyninge lyghte of his eyne.
9023_296468_000009_000001	I have noticed this often myself, and have seen them rush about in a half wild state just before windy weather.	I have noticed this often myself, and have seen them rush about in a half wild state just before windy weather.
9023_296468_000010_000001	This is a question I cannot say I have gone into deeply.	This is a question I cannot say I have gone into deeply.
9023_296468_000010_000003	All Cats are fond of warmth.	All Cats are fond of warmth.
9023_296468_000010_000007	A Cat's love of the sunshine is well known, and perhaps this story may not be unfamiliar to the reader:--	A Cat's love of the sunshine is well known, and perhaps this story may not be unfamiliar to the reader:--
9023_296468_000011_000001	The Prince asked for an explanation of this apparent miracle.	The Prince asked for an explanation of this apparent miracle.
9023_296468_000012_000000	"Your Royal Highness," said Fox, "chose, of course, the shady side of the way as most agreeable.	"Your Royal Highness," said Fox, "chose, of course, the shady side of the way as most agreeable.
9023_296468_000012_000001	I knew that the sunny side would be left for me, and that Cats prefer the sunshine."	I knew that the sunny side would be left for me, and that Cats prefer the sunshine."
9023_296468_000013_000000	Cats usually, but not always, fall on their feet, because of the facility with which they balance themselves when springing from a height, which power of balancing is in some degree produced by the flexibility of the heel, the bones of which have no fewer than four joints.	Cats usually, but not always, fall on their feet, because of the facility with which they balance themselves when springing from a height, which power of balancing is in some degree produced by the flexibility of the heel, the bones of which have no fewer than four joints.
9023_296468_000013_000001	Cats alight softly on their feet, because in the middle of the foot is a large ball or pad in five parts, formed of an elastic substance, and at the base of each toe is a similar pad.	Cats alight softly on their feet, because in the middle of the foot is a large ball or pad in five parts, formed of an elastic substance, and at the base of each toe is a similar pad.
9023_296468_000014_000000	A Cat, when falling with its head downwards, curls its body, so that the back forms an arch, while the legs remain extended.	A Cat, when falling with its head downwards, curls its body, so that the back forms an arch, while the legs remain extended.
9023_296468_000017_000003	It is a half-bred Persian Cat, and its eyes are perfectly blue, with round pupils, not elongated, as those of Cats usually are.	It is a half bred Persian Cat, and its eyes are perfectly blue, with round pupils, not elongated, as those of Cats usually are.
9023_296468_000018_000000	Do you know why Cats always wash themselves after a meal?	Do you know why Cats always wash themselves after a meal?
9023_296468_000018_000001	A Cat caught a sparrow, and was about to devour it, but the sparrow said,	A Cat caught a sparrow, and was about to devour it, but the sparrow said,
9023_296468_000020_000000	The Cat, struck with this remark, set the sparrow down, and began to wash his face with his paw, but the sparrow flew away.	The Cat, struck with this remark, set the sparrow down, and began to wash his face with his paw, but the sparrow flew away.
9023_296468_000020_000001	This vexed Pussy extremely, and he said,	This vexed Pussy extremely, and he said,
9023_296468_000021_000000	"As long as I live I will eat first and wash my face afterwards."	"As long as I live I will eat first and wash my face afterwards."
