9026_282386_000000_000000	{99}	{ninety nine}	false	0	1.02	37
9026_282386_000001_000000	CHAPTER VIII	CHAPTER eight	false	1.02	2.01	12
9026_282386_000002_000000	THE CARIBOO ROAD	THE c a r i b o o ROAD	false	2.01	27.55	22.429132
9026_282386_000003_000000	When the railway first went through the Fraser Canyon, passengers looking out of the windows anywhere from Yale to Ashcroft were amazed to see something like a Jacob's ladder up and down the mountains, appearing in places to hang almost in mid-air.	When the railway first went through the Fraser Canyon, passengers looking out of the windows anywhere from Yale to Ashcroft were amazed to see something like a Jacob's ladder up and down the mountains, appearing in places to hang almost in mid-air.	true	28.61	42.19	15
9026_282386_000003_000001	Between Yale and Lytton it hugged the mountain-side on what looked like a shelf of rock directly above the wildest water of the canyon.	Between Yale and Lytton it hugged the mountain side on what looked like a shelf of rock directly above the wildest water of the canyon.	true	42.53	50.11	10
9026_282386_000003_000002	Crib-work of huge trees, resembling in the distance the woven pattern of a willow basket, projected out over the ledges like a bird's nest hung from some mountain eyrie.	Crib work of huge trees, resembling in the distance the woven pattern of a willow basket, projected out over the ledges like a bird's nest hung from some mountain eyrie.	true	50.6	60.4	14
9026_282386_000003_000003	The traveller almost expected to see the thing sway and swing to the wind.	The traveller almost expected to see the thing sway and swing to the wind.	true	60.8	65.23	17
9026_282386_000003_000004	Then the train would sweep through a tunnel, or swing round a sharp bend, and far up among the summits might be seen a mule-team, or a string of pack-horses winding round the shoulders of the rock.	Then the train would sweep through a tunnel, or swing round a sharp bend, and far up among the summits might be seen a mule team, or a string of pack horses winding round the shoulders of the rock.	true	65.45	76.39	17
9026_282386_000003_000005	It seemed impossible that any man-made {100} highway could climb such perpendicular walls and drop down precipitous cliffs and follow a trail apparently secure only for a mountain goat.	It seemed impossible that any man-made {one hundred} highway could climb such perpendicular walls and drop down precipitous cliffs and follow a trail apparently secure only for a mountain goat.	false	76.64	87.37	15
9026_282386_000003_000006	The first impression was that the thing must be an old Indian war-path, along which no enemy could pursue.	The first impression was that the thing must be an old Indian war path, along which no enemy could pursue.	true	87.62	94.365	19.606571
9026_282386_000003_000007	But when the train paused at a water tank, and the traveller made inquiry, he was told that this was nothing less than the famous Cariboo Road, one of the wonders of the world.	But when the train paused at a water tank, and the traveller made inquiry, he was told that this was nothing less than the famous Cariboo Road, one of the wonders of the world.	true	94.365	104.46	16
9026_282386_000004_000000	[Illustration: The Cariboo Road.	[Illustration: The Cariboo Road.	false	104.46	104.82	-4
9026_282386_000004_000001	From a photograph.]	From a photograph.]	false	104.82	105.09	3
9026_282386_000005_000000	As long as the discovery of gold was confined to the Fraser river-bars, the important matter of transportation gave the government no difficulty.	As long as the discovery of gold was confined to the Fraser river bars, the important matter of transportation gave the government no difficulty.	true	105.09	113.17	12
9026_282386_000005_000001	Hudson's Bay steamers crossed from Victoria to Langley on the Fraser, which was a large fort and well equipped as a base of supplies for the workers in the wilderness.	Hudson's Bay steamers crossed from Victoria to Langley on the Fraser, which was a large fort and well equipped as a base of supplies for the workers in the wilderness.	true	113.45	122.65	14
9026_282386_000005_000002	Stern-wheelers, canoes, and miscellaneous craft could, with care, creep up from Langley to Hope and Yale; and the fares charged afforded a good revenue to the Hudson's Bay Company.	Stern wheelers, canoes, and miscellaneous craft could, with care, creep up from Langley to Hope and Yale; and the fares charged afforded a good revenue to the Hudson's Bay Company.	true	123.44	134.5	16
9026_282386_000005_000003	Even when prospectors struck above Yale, on up to Harrison Lake and across to Lillooet, or from the Okanagan to the Thompson, the difficulties of transportation were soon surmounted.	Even when prospectors struck above Yale, on up to Harrison Lake and across to Lillooet, or from the Okanagan to the Thompson, the difficulties of transportation were soon surmounted.	true	134.99	146.71	16
9026_282386_000005_000004	A road was shortly opened from Harrison Lake to Lillooet, built by the miners themselves, under the direction of the Royal {101} Engineers; and, as to the Thompson, there was the well-worn trail of the fur-traders, who had been going overland to Kamloops for fifty years.	A road was shortly opened from Harrison Lake to Lillooet, built by the miners themselves, under the direction of the Royal {one hundred one} Engineers; and, as to the Thompson, there was the well worn trail of the fur traders, who had been going overland to Kamloops for fifty years.	false	147.29	162.31	15
9026_282386_000006_000000	It was when gold was discovered higher up on the Fraser and in Cariboo, after the colony of British Columbia had taken its place on the political map, that Governor Douglas was put to the task of building a great road.	It was when gold was discovered higher up on the Fraser and in Cariboo, after the colony of British Columbia had taken its place on the political map, that Governor Douglas was put to the task of building a great road.	false	162.89	175.27	14
9026_282386_000006_000001	Henceforth, for a few years at least, the miners would be the backbone, if not the whole body, of the new colony.	Henceforth, for a few years at least, the miners would be the backbone, if not the whole body, of the new colony.	true	175.55	182.38	18
9026_282386_000006_000002	How could the administration be carried on if the government had no road into the mining region?	How could the administration be carried on if the government had no road into the mining region?	true	182.81	187.48	14
9026_282386_000007_000000	And so the governor of British Columbia entered on the boldest undertaking in roadbuilding ever launched by any community of twenty thousand people.	And so the governor of British Columbia entered on the boldest undertaking in roadbuilding ever launched by any community of twenty thousand people.	true	187.97	195.88	12
9026_282386_000007_000001	The Cariboo Road became to British Columbia what the Appian Way was to Rome.	The Cariboo Road became to British Columbia what the Appian Way was to Rome.	true	196.43	201.25	17
9026_282386_000007_000002	It was eighteen feet wide and over four hundred and eighty miles long.	It was eighteen feet wide and over four hundred and eighty miles long.	true	201.56	205.36	14
9026_282386_000007_000003	It was one of the finest roads ever built in the world.	It was one of the finest roads ever built in the world.	true	205.58	208.84	16
